識別子, 説明,単位, Pubchem CID,CAS登録番号,J-GLOBAL ID,Pubchem SID,備考
REFUSE, 廃棄率,%,
ENERC, エネルギー,kj,
ENERC_KCAL,エネルギー,kcal
WATER,水分,g,962,7732-18-5,200907026730798651
PROTCAA,アミノ酸組成によるたんぱく質,g,
PROT-,たんぱく質,g
FATNLEA,脂肪酸のトリアシルグリセロール当量,g
CHOLE,コレステロール,mg
FAT-,脂質,g
CHOAVLM,利用可能炭水化物(単糖当量),g
CHOAVLM*,,g,
CHOAVL,利用可能炭水化物（質量計）,g, 
CHOAVLDF-,差引き法による利用可能炭水化物,g,
CHOAVLDF-*,,
FIB-,食物繊維総量,g
POLYL,糖アルコール,g
CHOCDF-,炭水化物,g
OA,有機物,g
ASH,灰分,g
NA,ナトリウム,mg,5360545,7440-23-5,200907065484642880
K,カリウム,mg,5462222,7440-09-7,200907091703655152
CA,カルシウム,mg,5460341,7440-70-2,200907002005485919
MG,マグネシウム,mg,5462224,7439-95-4,200907061839756690
P,リン,mg,5462309,
FE,鉄,mg,23925,7439-89-6,200907095355651992
ZN,亜鉛,mg,23994,7440-66-6,200907059875470633
CU,銅,mg,23978,7440-50-8,200907090634412971
MN,マンガン,mg,23930,7439-96-5,200907027155158200
ID,ヨウ素,μg,23993,7440-65-5,200907066994672178
SE,セレン,μg,6326970,7782-49-2,200907032847671865
CR,クロム,μg,23976,7440-47-3,200907069880180614
MO,モリブデン,μg,23932,7439-98-7,200907021407955320
RETOL,レチノール,μg,445354,68-26-8,200907094094356614
CARTA,α-カロテン,μg,6419725,7488-99-5,200907021438844039
CARTB,β-カロテン,μg,5280489,7235-40-7,200907027784683180
CRYPXB,β-クリプトキサンチン,μg,5281235,472-70-8,200907047209196774
CARTBEQ,β-カロテン当量,μg,
VITA_RAE,レチノール活性当量,μg
VITD,ビタミンD,μg,,1406-16-2,200907056515225760,483926502
TOCPHA,α-トコフェロール,mg,14985,59-02-9,200907037405731488
TOCPHB,β-トコフェロール,mg,6857447,16698-35-4,200907087946818303
TOCPHG,γ-トコフェロール,mg,14986,7616-22-0,200907061582678323
TOCPHD,δ-トコフェロール,mg,92094,119-13-1,200907029954126240
VITK,ビタミンK,μg,5280483,12001-79-5,202307020321836195
THIA,ビタミンB1,mg,6042,59-43-8,200907002841910489
RIBF,ビタミンB2,mg,493570,83-88-5,200907028884773840
NIA,ナイアシン,mg,936,98-92-0,200907000738136659,,ビタミンB3の方を記載
NE,ナイアシン当量,mg
VITB6A,ビタミンB6,mg,1054,65-23-6,200907084992561024,
VITB12,ビタミンB12,μg,5311498,68-19-9,200907005316739905,
FOL,葉酸,μg,135398658,59-30-3,200907076065042289
PANTAC,パントテン酸,mg,6613,79-83-4,200907043802598026
